#   Delta m^2 [eV^2]      sin^2 theta_23   delta_CP [0, 2pi)      sin^2 theta_13               chi^2
              0.0012              0.4750              0.0000              0.0400            103.6275
              0.0012              0.5000              0.0000              0.0400            105.2703
              0.0012              0.5250              0.0000              0.0400            106.4044
              0.0012              0.5500              0.0000              0.0400            107.0079
              0.0012              0.5750              0.0000              0.0400            107.4271
              0.0012              0.6000              0.0000              0.0400            108.3486
              0.0012              0.6250              0.0000              0.0400            110.7466
              0.0012              0.6500              0.0000              0.0400            115.8146
              0.0012              0.6750              0.0000              0.0400            124.8877
              0.0012              0.7000              0.0000              0.0400            139.3597
              0.0012              0.7250              0.0000              0.0400            160.6084
              0.0012              0.7500              0.0000              0.0400            189.9159
              0.0012              0.7750              0.0000              0.0400            228.4425
              0.0012              0.3000              0.0000              0.0450            150.8791
              0.0012              0.3250              0.0000              0.0450            129.5482
              0.0012              0.3500              0.0000              0.0450            115.5937
              0.0012              0.3750              0.0000              0.0450            107.5308
              0.0012              0.4000              0.0000              0.0450            103.8629
              0.0012              0.4250              0.0000              0.0450            103.1633
              0.0012              0.4500              0.0000              0.0450            104.1563
              0.0012              0.4750              0.0000              0.0450            105.7956
              0.0012              0.5000              0.0000              0.0450            107.3317
              0.0012              0.5250              0.0000              0.0450            108.3592
              0.0012              0.5500              0.0000              0.0450            108.8416
              0.0012              0.5750              0.0000              0.0450            109.1093
              0.0012              0.6000              0.0000              0.0450            109.8318
              0.0012              0.6250              0.0000              0.0450            111.9666
              0.0012              0.6500              0.0000              0.0450            116.6915
              0.0012              0.6750              0.0000              0.0450            125.3276
              0.0012              0.7000              0.0000              0.0450            139.2581
              0.0012              0.7250              0.0000              0.0450            159.8526
              0.0012              0.7500              0.0000              0.0450            188.3889
              0.0012              0.7750              0.0000              0.0450            226.0261
              0.0012              0.3000              0.0000              0.0500            154.4421
              0.0012              0.3250              0.0000              0.0500            132.8329
              0.0012              0.3500              0.0000              0.0500            118.6213
              0.0012              0.3750              0.0000              0.0500            110.3256
              0.0012              0.4000              0.0000              0.0500            106.4515
              0.0012              0.4250              0.0000              0.0500            105.5723
              0.0012              0.4500              0.0000              0.0500            106.4102
              0.0012              0.4750              0.0000              0.0500            107.9144
              0.0012              0.5000              0.0000              0.0500            109.3274
              0.0012              0.5250              0.0000              0.0500            110.2337
              0.0012              0.5500              0.0000              0.0500            110.5840
              0.0012              0.5750              0.0000              0.0500            110.6943
              0.0012              0.6000              0.0000              0.0500            111.2184
              0.0012              0.6250              0.0000              0.0500            113.0986
              0.0012              0.6500              0.0000              0.0500            117.4979
              0.0012              0.6750              0.0000              0.0500            125.7246
              0.0012              0.7000              0.0000              0.0500            139.1511
              0.0012              0.7250              0.0000              0.0500            159.1394
              0.0012              0.7500              0.0000              0.0500            186.9622
              0.0012              0.7750              0.0000              0.0500            223.7774
              0.0012              0.3000              0.0000              0.0550            158.0188
              0.0012              0.3250              0.0000              0.0550            136.1323
              0.0012              0.3500              0.0000              0.0550            121.6617
