#   Delta m^2 [eV^2]      sin^2 theta_23   delta_CP [0, 2pi)      sin^2 theta_13               chi^2
              0.0012              0.6500              0.0000              0.0400            137.0732
              0.0012              0.6750              0.0000              0.0400            143.2372
              0.0012              0.7000              0.0000              0.0400            153.3988
              0.0012              0.7250              0.0000              0.0400            168.8827
              0.0012              0.7500              0.0000              0.0400            190.9981
              0.0012              0.7750              0.0000              0.0400            220.9875
              0.0012              0.3000              0.0000              0.0450            197.7413
              0.0012              0.3250              0.0000              0.0450            169.5799
              0.0012              0.3500              0.0000              0.0450            149.7083
              0.0012              0.3750              0.0000              0.0450            136.7885
              0.0012              0.4000              0.0000              0.0450            129.4127
              0.0012              0.4250              0.0000              0.0450            126.1722
              0.0012              0.4500              0.0000              0.0450            125.7320
              0.0012              0.4750              0.0000              0.0450            126.9066
              0.0012              0.5000              0.0000              0.0450            128.7323
              0.0012              0.5250              0.0000              0.0450            130.5272
              0.0012              0.5500              0.0000              0.0450            131.9339
              0.0012              0.5750              0.0000              0.0450            132.9405
              0.0012              0.6000              0.0000              0.0450            133.8773
              0.0012              0.6250              0.0000              0.0450            135.3899
              0.0012              0.6500              0.0000              0.0450            138.3917
              0.0012              0.6750              0.0000              0.0450            144.0021
              0.0012              0.7000              0.0000              0.0450            153.4753
              0.0012              0.7250              0.0000              0.0450            168.1279
              0.0012              0.7500              0.0000              0.0450            189.2628
              0.0012              0.7750              0.0000              0.0450            218.1283
              0.0012              0.3000              0.0000              0.0500            203.9035
              0.0012              0.3250              0.0000              0.0500            175.1615
              0.0012              0.3500              0.0000              0.0500            154.7449
              0.0012              0.3750              0.0000              0.0500            141.3260
              0.0012              0.4000              0.0000              0.0500            133.5046
              0.0012              0.4250              0.0000              0.0500            129.8758
              0.0012              0.4500              0.0000              0.0500            129.1033
              0.0012              0.4750              0.0000              0.0500            129.9956
              0.0012              0.5000              0.0000              0.0500            131.5776
              0.0012              0.5250              0.0000              0.0500            133.1510
              0.0012              0.5500              0.0000              0.0500            134.3385
              0.0012              0.5750              0.0000              0.0500            135.1056
              0.0012              0.6000              0.0000              0.0500            135.7592
              0.0012              0.6250              0.0000              0.0500            136.9216
              0.0012              0.6500              0.0000              0.0500            139.4853
              0.0012              0.6750              0.0000              0.0500            144.5525
              0.0012              0.7000              0.0000              0.0500            153.3643
              0.0012              0.7250              0.0000              0.0500            167.2301
              0.0012              0.7500              0.0000              0.0500            187.4481
              0.0012              0.7750              0.0000              0.0500            215.2713
              0.0012              0.3000              0.0000              0.0550            209.9617
              0.0012              0.3250              0.0000              0.0550            180.6726
              0.0012              0.3500              0.0000              0.0550            159.7375
              0.0012              0.3750              0.0000              0.0550            145.8380
              0.0012              0.4000              0.0000              0.0550            137.5813
              0.0012              0.4250              0.0000              0.0550            133.5659
              0.0012              0.4500              0.0000              0.0550            132.4551
              0.0012              0.4750              0.0000              0.0550            133.0523
              0.0012              0.5000              0.0000              0.0550            134.3725
              0.0012              0.5250              0.0000              0.0550            135.7035
              0.0012              0.5500              0.0000              0.0550            136.6503
              0.0012              0.5750              0.0000              0.0550            137.1586
              0.0012              0.6000              0.0000              0.0550            137.5144
              0.0012              0.6250              0.0000              0.0550            138.3198
              0.0012              0.6500              0.0000              0.0550            140.4488
              0.0012              0.6750              0.0000              0.0550            144.9880
              0.0012              0.7000              0.0000              0.0550            153.1671
              0.0012              0.7250              0.0000              0.0550            166.2857
              0.0012              0.7500              0.0000              0.0550            185.6483
              0.0012              0.7750              0.0000              0.0550            212.5022
              0.0012              0.3000              0.0000              0.0600            215.9285
              0.0012              0.3250              0.0000              0.0600            186.1194
              0.0012              0.3500              0.0000              0.0600            164.6877
              0.0012              0.3750              0.0000              0.0600            150.3243
              0.0012              0.4000              0.0000              0.0600            141.6430
              0.0012              0.4250              0.0000              0.0600            137.2461
              0.0012              0.4500              0.0000              0.0600            135.7966
              0.0012              0.4750              0.0000              0.0600            136.0935
              0.0012              0.5000              0.0000              0.0600            137.1431
              0.0012              0.5250              0.0000              0.0600            138.2209
              0.0012              0.5500              0.0000              0.0600            138.9162
              0.0012              0.5750              0.0000              0.0600            139.1570
              0.0012              0.6000              0.0000              0.0600            139.2105
              0.0012              0.6250              0.0000              0.0600            139.6606
              0.0012              0.6500              0.0000              0.0600            141.3647
              0.0012              0.6750              0.0000              0.0600            145.3956
              0.0012              0.7000              0.0000              0.0600            152.9724
              0.0012              0.7250              0.0000              0.0600            165.3885
              0.0012              0.7500              0.0000              0.0600            183.9463
              0.0012              0.7750              0.0000              0.0600            209.8958
              0.0012              0.3000              0.0000              0.0650            221.8153
              0.0012              0.3250              0.0000              0.0650            191.5067
              0.0012              0.3500              0.0000              0.0650            169.5966
              0.0012              0.3750              0.0000              0.0650            154.7843
              0.0012              0.4000              0.0000              0.0650            145.6899
              0.0012              0.4250              0.0000              0.0650            140.9193
              0.0012              0.4500              0.0000              0.0650            139.1353
              0.0012              0.4750              0.0000              0.0650            139.1330
              0.0012              0.5000              0.0000              0.0650            139.9111
              0.0012              0.5250              0.0000              0.0650            140.7334
              0.0012              0.5500              0.0000              0.0650            141.1753
              0.0012              0.5750              0.0000              0.0650            141.1486
              0.0012              0.6000              0.0000              0.0650            140.9033
              0.0012              0.6250              0.0000              0.0650            141.0067
              0.0012              0.6500              0.0000              0.0650            142.3009
              0.0012              0.6750              0.0000              0.0650            145.8458
              0.0012              0.7000              0.0000              0.0650            152.8510
              0.0012              0.7250              0.0000              0.0650            164.6038
              0.0012              0.7500              0.0000              0.0650            182.4092
              0.0012              0.7750              0.0000              0.0650            207.5070
              0.0012              0.3000              0.0000              0.0700            227.6299
              0.0012              0.3250              0.0000              0.0700            196.8378
              0.0012              0.3500              0.0000              0.0700            174.4644
              0.0012              0.3750              0.0000              0.0700            159.2171
              0.0012              0.4000              0.0000              0.0700            149.7219
              0.0012              0.4250              0.0000              0.0700            144.5876
              0.0012              0.4500              0.0000              0.0700            142.4773
              0.0012              0.4750              0.0000              0.0700            142.1821
              0.0012              0.5000              0.0000              0.0700            142.6936
              0.0012              0.5250              0.0000              0.0700            143.2650
              0.0012              0.5500              0.0000              0.0700            143.4586
              0.0012              0.5750              0.0000              0.0700            143.1709
              0.0012              0.6000              0.0000              0.0700            142.6363
              0.0012              0.6250              0.0000              0.0700            142.4062
              0.0012              0.6500              0.0000              0.0700            143.3083
              0.0012              0.6750              0.0000              0.0700            146.3906
              0.0012              0.7000              0.0000              0.0700            152.8537
              0.0012              0.7250              0.0000              0.0700            163.9789
              0.0012              0.7500              0.0000              0.0700            181.0696
              0.0012              0.7750              0.0000              0.0700            205.3672
              0.0012              0.3000              0.0000              0.0750            233.3781
              0.0012              0.3250              0.0000              0.0750            202.1146
              0.0012              0.3500              0.0000              0.0750            179.2909
              0.0012              0.3750              0.0000              0.0750            163.6216
              0.0012              0.4000              0.0000              0.0750            153.7382
              0.0012              0.4250              0.0000              0.0750            148.2523
              0.0012              0.4500              0.0000              0.0750            145.8262
              0.0012              0.4750              0.0000              0.0750            145.2488
              0.0012              0.5000              0.0000              0.0750            145.5034
              0.0012              0.5250              0.0000              0.0750            145.8336
              0.0012              0.5500              0.0000              0.0750            145.7890
              0.0012              0.5750              0.0000              0.0750            145.2517
              0.0012              0.6000              0.0000              0.0750            144.4408
              0.0012              0.6250              0.0000              0.0750            143.8930
              0.0012              0.6500              0.0000              0.0750            144.4223
              0.0012              0.6750              0.0000              0.0750            147.0648
              0.0012              0.7000              0.0000              0.0750            153.0123
              0.0012              0.7250              0.0000              0.0750            163.5405
              0.0012              0.7500              0.0000              0.0750            179.9512
              0.0012              0.7750              0.0000              0.0750            203.4867
