#   Delta m^2 [eV^2]      sin^2 theta_23   delta_CP [0, 2pi)      sin^2 theta_13               chi^2
              0.0018              0.5500              0.0000              0.0220             25.4447
              0.0018              0.5625              0.0000              0.0220             26.4341
              0.0018              0.5750              0.0000              0.0220             27.5952
              0.0018              0.5875              0.0000              0.0220             29.0049
              0.0018              0.6000              0.0000              0.0220             30.7585
              0.0018              0.6125              0.0000              0.0220             32.9680
              0.0018              0.6250              0.0000              0.0220             35.7599
              0.0018              0.6375              0.0000              0.0220             39.2734
              0.0018              0.6500              0.0000              0.0220             43.6580
              0.0018              0.6625              0.0000              0.0220             49.0707
              0.0018              0.6750              0.0000              0.0220             55.6745
              0.0018              0.6875              0.0000              0.0220             63.6353
              0.0018              0.7000              0.0000              0.0220             73.1196
              0.0018              0.7125              0.0000              0.0220             84.2926
              0.0018              0.7250              0.0000              0.0220             97.3156
              0.0019              0.3000              0.0000              0.0220             93.5516
              0.0019              0.3125              0.0000              0.0220             78.1426
              0.0019              0.3250              0.0000              0.0220             64.9213
              0.0019              0.3375              0.0000              0.0220             53.7237
              0.0019              0.3500              0.0000              0.0220             44.3813
              0.0019              0.3625              0.0000              0.0220             36.7211
              0.0019              0.3750              0.0000              0.0220             30.5685
              0.0019              0.3875              0.0000              0.0220             25.7479
              0.0019              0.4000              0.0000              0.0220             22.0871
              0.0019              0.4125              0.0000              0.0220             19.4185
              0.0019              0.4250              0.0000              0.0220             17.5818
              0.0019              0.4375              0.0000              0.0220             16.4264
              0.0019              0.4500              0.0000              0.0220             15.8140
              0.0019              0.4625              0.0000              0.0220             15.6205
              0.0019              0.4750              0.0000              0.0220             15.7381
              0.0019              0.4875              0.0000              0.0220             16.0770
              0.0019              0.5000              0.0000              0.0220             16.5673
              0.0019              0.5125              0.0000              0.0220             17.1594
              0.0019              0.5250              0.0000              0.0220             17.8253
              0.0019              0.5375              0.0000              0.0220             18.5592
              0.0019              0.5500              0.0000              0.0220             19.3769
              0.0019              0.5625              0.0000              0.0220             20.3158
              0.0019              0.5750              0.0000              0.0220             21.4343
              0.0019              0.5875              0.0000              0.0220             22.8105
              0.0019              0.6000              0.0000              0.0220             24.5406
              0.0019              0.6125              0.0000              0.0220             26.7377
              0.0019              0.6250              0.0000              0.0220             29.5294
              0.0019              0.6375              0.0000              0.0220             33.0556
              0.0019              0.6500              0.0000              0.0220             37.4666
              0.0019              0.6625              0.0000              0.0220             42.9202
              0.0019              0.6750              0.0000              0.0220             49.5801
              0.0019              0.6875              0.0000              0.0220             57.6123
              0.0019              0.7000              0.0000              0.0220             67.1840
              0.0019              0.7125              0.0000              0.0220             78.4604
              0.0019              0.7250              0.0000              0.0220             91.6029
              0.0020              0.3000              0.0000              0.0220             90.0670
              0.0020              0.3125              0.0000              0.0220             74.6372
              0.0020              0.3250              0.0000              0.0220             61.3941
              0.0020              0.3375              0.0000              0.0220             50.1730
              0.0020              0.3500              0.0000              0.0220             40.8052
              0.0020              0.3625              0.0000              0.0220             33.1176
              0.0020              0.3750              0.0000              0.0220             26.9348
              0.0020              0.3875              0.0000              0.0220             22.0814
              0.0020              0.4000              0.0000              0.0220             18.3849
              0.0020              0.4125              0.0000              0.0220             15.6775
              0.0020              0.4250              0.0000              0.0220             13.7989
              0.0020              0.4375              0.0000              0.0220             12.5987
              0.0020              0.4500              0.0000              0.0220             11.9387
              0.0020              0.4625              0.0000              0.0220             11.6951
              0.0020              0.4750              0.0000              0.0220             11.7604
              0.0020              0.4875              0.0000              0.0220             12.0456
              0.0020              0.5000              0.0000              0.0220             12.4812
              0.0020              0.5125              0.0000              0.0220             13.0183
              0.0020              0.5250              0.0000              0.0220             13.6299
              0.0020              0.5375              0.0000              0.0220             14.3109
              0.0020              0.5500              0.0000              0.0220             15.0782
              0.0020              0.5625              0.0000              0.0220             15.9701
              0.0020              0.5750              0.0000              0.0220             17.0461
              0.0020              0.5875              0.0000              0.0220             18.3854
              0.0020              0.6000              0.0000              0.0220             20.0852
              0.0020              0.6125              0.0000              0.0220             22.2596
              0.0020              0.6250              0.0000              0.0220             25.0372
              0.0020              0.6375              0.0000              0.0220             28.5589
              0.0020              0.6500              0.0000              0.0220             32.9758
              0.0020              0.6625              0.0000              0.0220             38.4467
              0.0020              0.6750              0.0000              0.0220             45.1355
              0.0020              0.6875              0.0000              0.0220             53.2092
              0.0020              0.7000              0.0000              0.0220             62.8351
              0.0020              0.7125              0.0000              0.0220             74.1789
              0.0020              0.7250              0.0000              0.0220             87.4021
              0.0021              0.3000              0.0000              0.0220             86.7883
              0.0021              0.3125              0.0000              0.0220             71.3434
              0.0021              0.3250              0.0000              0.0220             58.0823
              0.0021              0.3375              0.0000              0.0220             46.8420
              0.0021              0.3500              0.0000              0.0220             37.4533
              0.0021              0.3625              0.0000              0.0220             29.7429
              0.0021              0.3750              0.0000              0.0220             23.5345
              0.0021              0.3875              0.0000              0.0220             18.6531
              0.0021              0.4000              0.0000              0.0220             14.9257
              0.0021              0.4125              0.0000              0.0220             12.1843
              0.0021              0.4250              0.0000              0.0220             10.2686
              0.0021              0.4375              0.0000              0.0220              9.0282
              0.0021              0.4500              0.0000              0.0220              8.3249
              0.0021              0.4625              0.0000              0.0220              8.0352
              0.0021              0.4750              0.0000              0.0220              8.0521
