#   Delta m^2 [eV^2]      sin^2 theta_23   delta_CP [0, 2pi)      sin^2 theta_13               chi^2
              0.0014              0.5250              0.0000              0.0220             57.3522
              0.0014              0.5375              0.0000              0.0220             57.9755
              0.0014              0.5500              0.0000              0.0220             58.6117
              0.0014              0.5625              0.0000              0.0220             59.3237
              0.0014              0.5750              0.0000              0.0220             60.1951
              0.0014              0.5875              0.0000              0.0220             61.3294
              0.0014              0.6000              0.0000              0.0220             62.8473
              0.0014              0.6125              0.0000              0.0220             64.8855
              0.0014              0.6250              0.0000              0.0220             67.5934
              0.0014              0.6375              0.0000              0.0220             71.1311
              0.0014              0.6500              0.0000              0.0220             75.6673
              0.0014              0.6625              0.0000              0.0220             81.3758
              0.0014              0.6750              0.0000              0.0220             88.4331
              0.0014              0.6875              0.0000              0.0220             97.0165
              0.0014              0.7000              0.0000              0.0220            107.3009
              0.0014              0.7125              0.0000              0.0220            119.4571
              0.0014              0.7250              0.0000              0.0220            133.6495
              0.0015              0.3000              0.0000              0.0220             95.0452
              0.0015              0.3125              0.0000              0.0220             82.5303
              0.0015              0.3250              0.0000              0.0220             72.0537
              0.0015              0.3375              0.0000              0.0220             63.4315
              0.0015              0.3500              0.0000              0.0220             56.4905
              0.0015              0.3625              0.0000              0.0220             51.0456
              0.0015              0.3750              0.0000              0.0220             46.9137
              0.0015              0.3875              0.0000              0.0220             43.9138
              0.0015              0.4000              0.0000              0.0220             41.8697
              0.0015              0.4125              0.0000              0.0220             40.6130
              0.0015              0.4250              0.0000              0.0220             39.9848
              0.0015              0.4375              0.0000              0.0220             39.8396
              0.0015              0.4500              0.0000              0.0220             40.0464
              0.0015              0.4625              0.0000              0.0220             40.4915
              0.0015              0.4750              0.0000              0.0220             41.0803
              0.0015              0.4875              0.0000              0.0220             41.7387
              0.0015              0.5000              0.0000              0.0220             42.4146
              0.0015              0.5125              0.0000              0.0220             43.0787
              0.0015              0.5250              0.0000              0.0220             43.7252
              0.0015              0.5375              0.0000              0.0220             44.3711
              0.0015              0.5500              0.0000              0.0220             45.0568
              0.0015              0.5625              0.0000              0.0220             45.8445
              0.0015              0.5750              0.0000              0.0220             46.8175
              0.0015              0.5875              0.0000              0.0220             48.0786
              0.0015              0.6000              0.0000              0.0220             49.7479
              0.0015              0.6125              0.0000              0.0220             51.9612
              0.0015              0.6250              0.0000              0.0220             54.8672
              0.0015              0.6375              0.0000              0.0220             58.6254
              0.0015              0.6500              0.0000              0.0220             63.4032
              0.0015              0.6625              0.0000              0.0220             69.3738
              0.0015              0.6750              0.0000              0.0220             76.7129
              0.0015              0.6875              0.0000              0.0220             85.5969
              0.0015              0.7000              0.0000              0.0220             96.2000
              0.0015              0.7125              0.0000              0.0220            108.6922
              0.0015              0.7250              0.0000              0.0220            123.2371
              0.0016              0.3000              0.0000              0.0220             87.3141
              0.0016              0.3125              0.0000              0.0220             74.5176
              0.0016              0.3250              0.0000              0.0220             63.7674
              0.0016              0.3375              0.0000              0.0220             54.8868
              0.0016              0.3500              0.0000              0.0220             47.6972
              0.0016              0.3625              0.0000              0.0220             42.0164
              0.0016              0.3750              0.0000              0.0220             37.6619
              0.0016              0.3875              0.0000              0.0220             34.4533
              0.0016              0.4000              0.0000              0.0220             32.2153
              0.0016              0.4125              0.0000              0.0220             30.7796
              0.0016              0.4250              0.0000              0.0220             29.9886
              0.0016              0.4375              0.0000              0.0220             29.6969
              0.0016              0.4500              0.0000              0.0220             29.7742
              0.0016              0.4625              0.0000              0.0220             30.1069
              0.0016              0.4750              0.0000              0.0220             30.6010
              0.0016              0.4875              0.0000              0.0220             31.1825
              0.0016              0.5000              0.0000              0.0220             31.7998
              0.0016              0.5125              0.0000              0.0220             32.4235
              0.0016              0.5250              0.0000              0.0220             33.0479
              0.0016              0.5375              0.0000              0.0220             33.6901
              0.0016              0.5500              0.0000              0.0220             34.3905
              0.0016              0.5625              0.0000              0.0220             35.2111
              0.0016              0.5750              0.0000              0.0220             36.2352
              0.0016              0.5875              0.0000              0.0220             37.5653
              0.0016              0.6000              0.0000              0.0220             39.3214
              0.0016              0.6125              0.0000              0.0220             41.6389
              0.0016              0.6250              0.0000              0.0220             44.6665
              0.0016              0.6375              0.0000              0.0220             48.5633
              0.0016              0.6500              0.0000              0.0220             53.4965
              0.0016              0.6625              0.0000              0.0220             59.6389
              0.0016              0.6750              0.0000              0.0220             67.1661
              0.0016              0.6875              0.0000              0.0220             76.2541
              0.0016              0.7000              0.0000              0.0220             87.0768
              0.0016              0.7125              0.0000              0.0220             99.8039
              0.0016              0.7250              0.0000              0.0220            114.5987
              0.0017              0.3000              0.0000              0.0220             81.0270
              0.0017              0.3125              0.0000              0.0220             67.9926
              0.0017              0.3250              0.0000              0.0220             57.0129
              0.0017              0.3375              0.0000              0.0220             47.9116
              0.0017              0.3500              0.0000              0.0220             40.5109
              0.0017              0.3625              0.0000              0.0220             34.6291
              0.0017              0.3750              0.0000              0.0220             30.0842
              0.0017              0.3875              0.0000              0.0220             26.6965
              0.0017              0.4000              0.0000              0.0220             24.2912
              0.0017              0.4125              0.0000              0.0220             22.7004
              0.0017              0.4250              0.0000              0.0220             21.7669
              0.0017              0.4375              0.0000              0.0220             21.3457
              0.0017              0.4500              0.0000              0.0220             21.3068
              0.0017              0.4625              0.0000              0.0220             21.5371
              0.0017              0.4750              0.0000              0.0220             21.9426
              0.0017              0.4875              0.0000              0.0220             22.4498
              0.0017              0.5000              0.0000              0.0220             23.0070
              0.0017              0.5125              0.0000              0.0220             23.5852
              0.0017              0.5250              0.0000              0.0220             24.1786
              0.0017              0.5375              0.0000              0.0220             24.8046
              0.0017              0.5500              0.0000              0.0220             25.5033
              0.0017              0.5625              0.0000              0.0220             26.3370
              0.0017              0.5750              0.0000              0.0220             27.3888
              0.0017              0.5875              0.0000              0.0220             28.7612
              0.0017              0.6000              0.0000              0.0220             30.5741
              0.0017              0.6125              0.0000              0.0220             32.9629
              0.0017              0.6250              0.0000              0.0220             36.0761
              0.0017              0.6375              0.0000              0.0220             40.0727
              0.0017              0.6500              0.0000              0.0220             45.1198
              0.0017              0.6625              0.0000              0.0220             51.3899
              0.0017              0.6750              0.0000              0.0220             59.0587
              0.0017              0.6875              0.0000              0.0220             68.3017
              0.0017              0.7000              0.0000              0.0220             79.2928
              0.0017              0.7125              0.0000              0.0220             92.2013
              0.0017              0.7250              0.0000              0.0220            107.1903
              0.0018              0.3000              0.0000              0.0220             76.9788
              0.0018              0.3125              0.0000              0.0220             63.7342
              0.0018              0.3250              0.0000              0.0220             52.5415
              0.0018              0.3375              0.0000              0.0220             43.2352
              0.0018              0.3500              0.0000              0.0220             35.6353
              0.0018              0.3625              0.0000              0.0220             29.5612
              0.0018              0.3750              0.0000              0.0220             24.8319
              0.0018              0.3875              0.0000              0.0220             21.2686
              0.0018              0.4000              0.0000              0.0220             18.6974
              0.0018              0.4125              0.0000              0.0220             16.9515
              0.0018              0.4250              0.0000              0.0220             15.8743
              0.0018              0.4375              0.0000              0.0220             15.3217
              0.0018              0.4500              0.0000              0.0220             15.1643
              0.0018              0.4625              0.0000              0.0220             15.2896
              0.0018              0.4750              0.0000              0.0220             15.6042
              0.0018              0.4875              0.0000              0.0220             16.0349
              0.0018              0.5000              0.0000              0.0220             16.5303
              0.0018              0.5125              0.0000              0.0220             17.0616
              0.0018              0.5250              0.0000              0.0220             17.6231
              0.0018              0.5375              0.0000              0.0220             18.2322
              0.0018              0.5500              0.0000              0.0220             18.9289
              0.0018              0.5625              0.0000              0.0220             19.7753
              0.0018              0.5750              0.0000              0.0220             20.8542
              0.0018              0.5875              0.0000              0.0220             22.2677
              0.0018              0.6000              0.0000              0.0220             24.1354
              0.0018              0.6125              0.0000              0.0220             26.5920
              0.0018              0.6250              0.0000              0.0220             29.7857
              0.0018              0.6375              0.0000              0.0220             33.8748
              0.0018              0.6500              0.0000              0.0220             39.0258
              0.0018              0.6625              0.0000              0.0220             45.4105
              0.0018              0.6750              0.0000              0.0220             53.2040
              0.0018              0.6875              0.0000              0.0220             62.5812
              0.0018              0.7000              0.0000              0.0220             73.7153
              0.0018              0.7125              0.0000              0.0220             86.7749
              0.0018              0.7250              0.0000              0.0220            101.9225
              0.0019              0.3000              0.0000              0.0220             73.8904
              0.0019              0.3125              0.0000              0.0220             60.5578
              0.0019              0.3250              0.0000              0.0220             49.2817
              0.0019              0.3375              0.0000              0.0220             39.8964
              0.0019              0.3500              0.0000              0.0220             32.2216
              0.0019              0.3625              0.0000              0.0220             26.0763
              0.0019              0.3750              0.0000              0.0220             21.2794
              0.0019              0.3875              0.0000              0.0220             17.6518
              0.0019              0.4000              0.0000              0.0220             15.0188
              0.0019              0.4125              0.0000              0.0220             13.2136
              0.0019              0.4250              0.0000              0.0220             12.0792
              0.0019              0.4375              0.0000              0.0220             11.4713
              0.0019              0.4500              0.0000              0.0220             11.2600
              0.0019              0.4625              0.0000              0.0220             11.3328
              0.0019              0.4750              0.0000              0.0220             11.5959
              0.0019              0.4875              0.0000              0.0220             11.9762
              0.0019              0.5000              0.0000              0.0220             12.4223
              0.0019              0.5125              0.0000              0.0220             12.9055
              0.0019              0.5250              0.0000              0.0220             13.4202
              0.0019              0.5375              0.0000              0.0220             13.9839
              0.0019              0.5500              0.0000              0.0220             14.6372
              0.0019              0.5625              0.0000              0.0220             15.4425
              0.0019              0.5750              0.0000              0.0220             16.4830
              0.0019              0.5875              0.0000              0.0220             17.8615
              0.0019              0.6000              0.0000              0.0220             19.6981
              0.0019              0.6125              0.0000              0.0220             22.1284
              0.0019              0.6250              0.0000              0.0220             25.3008
              0.0019              0.6375              0.0000              0.0220             29.3746
              0.0019              0.6500              0.0000              0.0220             34.5171
              0.0019              0.6625              0.0000              0.0220             40.9006
              0.0019              0.6750              0.0000              0.0220             48.7007
              0.0019              0.6875              0.0000              0.0220             58.0932
              0.0019              0.7000              0.0000              0.0220             69.2517
              0.0019              0.7125              0.0000              0.0220             82.3455
              0.0019              0.7250              0.0000              0.0220             97.5372
              0.0020              0.3000              0.0000              0.0220             71.2854
              0.0020              0.3125              0.0000              0.0220             57.8416
